1 	 3.4876142145217670e-02 	 1.2580386371959990e-02 	 8.7187669080816994e-03 
2 	 1.3952176661594035e-01 	 4.5335750271569331e-02 	 7.8475349978533476e-02 
3 	 3.1398851419562890e-01 	 8.5718907932269245e-02 	 2.1802292385436392e-01 
4 	 5.5836260875697763e-01 	 1.1943638997983597e-01 	 4.2743039743839467e-01 
5 	 8.7276509218728837e-01 	 1.3640060341725724e-01 	 7.0680136828037110e-01 
6 	 1.2573521554472840e+00 	 1.3385913589092460e-01 	 1.0562744053356159e+00 
7 	 1.7123155679579931e+00 	 1.1575445621029093e-01 	 1.4760234288722434e+00 
8 	 2.2378832081828222e+00 	 8.9525405890083370e-02 	 1.9662581900539431e+00 
9 	 2.8343196989797144e+00 	 6.2515889253979384e-02 	 2.5272248534143724e+00 
10 	 3.5019271520505790e+00 	 3.9666921390213779e-02 	 3.1592066861680252e+00 
11 	 4.2410460266220937e+00 	 2.2970693330785118e-02 	 3.8625248590807231e+00 
12 	 5.0520561083647388e+00 	 1.2178245967598407e-02 	 4.6375393644612197e+00 
13 	 5.9353776155080897e+00 	 5.9242646151714731e-03 	 5.4846500577457258e+00 
14 	 6.8914724401542440e+00 	 2.6486344052041198e-03 	 6.4042978301427471e+00 
15 	 7.9208455339439734e+00 	 1.0895358545093333e-03 	 7.3969659209017582e+00 
16 	 9.0240464485104468e+00 	 4.1269558642031295e-04 	 8.4631813789832169e+00 
17 	 1.0201671042584756e+01 	 1.4401220355339669e-04 	 9.6035166852593470e+00 
18 	 1.1454363369220937e+01 	 4.6308528132837435e-05 	 1.0818591547888163e+01 
19 	 1.2782817758415030e+01 	 1.3722748589411550e-05 	 1.2109074885204416e+01 
20 	 1.4187781112437294e+01 	 3.7470811340307867e-06 	 1.3475687012392225e+01 
21 	 1.5670055433519227e+01 	 9.4255401842875659e-07 	 1.4919202050382198e+01 
22 	 1.7230500606185640e+01 	 2.1832932631304756e-07 	 1.6440450577894971e+01 
23 	 1.8870037459553174e+01 	 4.6546691769401217e-08 	 1.8040322550385149e+01 
24 	 2.0589651138398359e+01 	 9.1277685145976861e-09 	 1.9719770512886893e+01 
25 	 2.2390394815811483e+01 	 1.6452032277710932e-09 	 2.1479813137498724e+01 
26 	 2.4273393784894825e+01 	 2.7232458082626211e-10 	 2.3321539120559486e+01 
27 	 2.6239849972352928e+01 	 4.1357405787077734e-11 	 2.5246111479566945e+01 
28 	 2.8291046923100957e+01 	 5.7565075410718922e-12 	 2.7254772295704665e+01 
29 	 3.0428355312359017e+01 	 7.3349478614938751e-13 	 2.9348847954629015e+01 
30 	 3.2653239050317431e+01 	 8.5449851996681931e-14 	 3.1529754946118171e+01 
31 	 3.4967262054611645e+01 	 9.0885719304329116e-15 	 3.3799006292534422e+01 
32 	 3.7372095777857439e+01 	 8.8123352924773482e-16 	 3.6158218687089231e+01 
33 	 3.9869527591767358e+01 	 7.7764761169330799e-17 	 3.8609120435986085e+01 
34 	 4.2461470146394873e+01 	 6.2344433990965136e-18 	 4.1153560314094563e+01 
35 	 4.5149971843459483e+01 	 4.5320979681981761e-19 	 4.3793517462438189e+01 
36 	 4.7937228587279932e+01 	 2.9811514854827093e-20 	 4.6531112478158398e+01 
37 	 5.0825597006583592e+01 	 1.7704177403794832e-21 	 4.9368619874634071e+01 
38 	 5.3817609376642487e+01 	 9.4693372927970668e-23 	 5.2308482122218045e+01 
39 	 5.6915990515448954e+01 	 4.5496204773625039e-24 	 5.5353325520042738e+01 
40 	 6.0123676982107590e+01 	 1.9579817063028424e-25 	 5.8505978198409125e+01 
41 	 6.3443838973048891e+01 	 7.5246005977227571e-27 	 6.1769490611825894e+01 
42 	 6.6879905395698344e+01 	 2.5736528027969584e-28 	 6.5147158957974540e+01 
43 	 7.0435592704676850e+01 	 7.8060824630572413e-30 	 6.8642552051920561e+01 
44 	 7.4114938218902410e+01 	 2.0913105972107182e-31 	 7.2259542303330619e+01 
45 	 7.7922338807799051e+01 	 4.9276048689947702e-33 	 7.6002341594762797e+01 
46 	 8.1862596053044015e+01 	 1.0163418476820712e-34 	 7.9875543051402957e+01 
47 	 8.5940969275231026e+01 	 1.8255232824051423e-36 	 8.3884169940817941e+01 
48 	 9.0163238185268369e+01 	 2.8393001737047749e-38 	 8.8033733264640432e+01 
49 	 9.4535777410422838e+01 	 3.8000407159409561e-40 	 9.2330300029608878e+01 
50 	 9.9065645800687719e+01 	 4.3461095817801830e-42 	 9.6780574751462041e+01 
51 	 1.0376069430943399e+02 	 4.2149348551586926e-44 	 1.0139199750718947e+02 
52 	 1.0862969746171994e+02 	 3.4364091828597241e-46 	 1.0617286289008757e+02 
53 	 1.1368251512223891e+02 	 2.3325098782353240e-48 	 1.1113246565852953e+02 
54 	 1.1893029367918965e+02 	 1.3036966420616805e-50 	 1.1628128088600175e+02 
55 	 1.2438571922418939e+02 	 5.9256362970797087e-53 	 1.2163118929911752e+02 
56 	 1.3006334039728537e+02 	 2.1591033867114378e-55 	 1.2719576267798608e+02 
57 	 1.3597998620756093e+02 	 6.2028652700648314e-58 	 1.3299063041128534e+02 
58 	 1.4215531589855752e+02 	 1.3781110339599538e-60 	 1.3903395774676807e+02 
59 	 1.4861255653021982e+02 	 2.3143027857195559e-63 	 1.4534708101343207e+02 
60 	 1.5537951432251830e+02 	 2.8583857609337594e-66 	 1.5195536876163146e+02 
61 	 1.6248999723488208e+02 	 2.5116155552912989e-69 	 1.5888941709782910e+02 
62 	 1.6998587710409157e+02 	 1.5068066843504968e-72 	 1.6618675545408163e+02 
