1 	 1.4739918461631113e-01 	 9.7740989137131695e-02 	 3.6829527897991314e-02 
2 	 5.9090181124318830e-01 	 2.5230790121227198e-01 	 3.3195317365377819e-01 
3 	 1.3344875116145765e+00 	 2.7241982515207863e-01 	 9.2482659496350839e-01 
4 	 2.3850115520046535e+00 	 1.7166350712629061e-01 	 1.8208328102177815e+00 
5 	 3.7525678738747681e+00 	 6.9540261026554098e-02 	 3.0283893540030586e+00 
6 	 5.4510629395683967e+00 	 1.8734808778456020e-02 	 4.5594087512790749e+00 
7 	 7.4990855329073716e+00 	 3.3812292389549486e-03 	 6.4300066514499195e+00 
8 	 9.9212191360724287e+00 	 4.0525569008016563e-04 	 8.6615692147429790e+00 
9 	 1.2750055460117064e+01 	 3.1561318148868929e-05 	 1.1282373589424102e+01 
10 	 1.6029386360375128e+01 	 1.5413042593641491e-06 	 1.4330110375735948e+01 
11 	 1.9819512877102024e+01 	 4.4749378027621050e-08 	 1.7855971307346486e+01 
12 	 2.4206680643468307e+01 	 7.1360371637516037e-10 	 2.1931659037220463e+01 
13 	 2.9321456103352332e+01 	 5.5328497841368929e-12 	 2.6662378695810844e+01 
14 	 3.5379550787175560e+01 	 1.7037275146911217e-14 	 3.2213687505361179e+01 
15 	 4.2793255970754643e+01 	 1.4182495888448543e-17 	 3.8876763710631749e+01 
16 	 5.2618366255753244e+01 	 1.2137123039229541e-21 	 4.7276741082181942e+01 
17 	              NaN 		              NaN 		 5.9606277733995306e+01 
